name,value,year,lastValue,rank
Audi,4165,2006,4117.1,55
Amazon,4156,2004,4080.7,49
Johnson & Johnson,4155,2010,4124.2,63
Chanel,4141,2000,4141,34
Panasonic,4135,2007,4119.2,60
Tiffany & Co.,4127,2010,4114.3,64
Kia,4089,2012,4089,78
Caterpillar,4085,2005,4056.6,52
Hyundai,4078,2006,4018.2,56
Johnson & Johnson,4072,2011,4080.3,69
Starbucks,4062,2012,4022.1,79
Corona,4061,2012,4047.3,80
Danone,4054,2002,4054,45
Cartier,4052,2010,4043.6,65
Jack Daniel's,4036,2010,NA,66
adidas,4033,2005,4003.7,53
Allianz,4033,2008,4025.4,64
Shell,4003,2010,3925.5,67
Tiffany & Co.,4003,2007,3984.6,61
Tiffany & Co.,4000,2009,4020.8,61
Visa,3998,2010,3915.2,68
Panasonic,3977,2006,3950.7,57
Cartier,3968,2009,3994.8,62
Allianz,3957,2007,3957,62
3M,3945,2011,3909.1,70
Heineken,3939,2012,3926,81
Porsche,3927,2006,3912,58
Corona,3924,2011,3916.3,71
Mastercard,3896,2012,3896,82
Starbucks,3879,2008,3854.2,65
Harley-Davidson,3857,2012,3822.5,83
Herm??s,3854,2006,3822.6,59
Cartier,3852,2007,3802.8,63
Corona,3847,2010,3847,69
Johnson & Johnson,3847,2009,3820.5,63
Johnnie Walker,3842,2011,3813.5,72
Allianz,3831,2009,3851.2,64
Nissan,3819,2011,NA,73
Tiffany & Co.,3819,2006,3798.9,60
Heineken,3809,2011,3779.7,74
Caterpillar,3801,2004,3757.2,50
adidas,3791,2000,3791,35
Porsche,3777,2005,3763.9,54
Ferrari,3770,2012,3752.1,84
adidas,3740,2004,3733.9,51
Panasonic,3734,2000,3734,36
Burberry,3732,2011,3669.8,75
Zara,3730,2005,3730,55
Panasonic,3714,2005,3690.6,56
adidas,3690,2002,3686,46
Audi,3686,2005,3646.2,57
adidas,3679,2003,3680.1,47
Starbucks,3663,2011,3630.6,76
John Deere,3651,2011,3651,77
adidas,3650,2001,3664.1,40
Porsche,3646,2004,3646,52
Hennessy,3638,2007,3631.8,64
Tiffany & Co.,3638,2004,3628.2,53
Starbucks,3631,2007,3577.8,65
Adobe,3626,2010,3579.5,70
Tiffany & Co.,3618,2005,3620,58
Ferrari,3591,2011,3588.1,78
3M,3586,2010,3586,71
Prada,3585,2008,3555.1,66
Johnson & Johnson,3582,2008,3568.3,67
Hennessy,3576,2006,3538.5,61
Ferrari,3562,2010,3558.5,72
Johnnie Walker,3557,2010,NA,73
Herm??s,3540,2005,3523.6,59
Tiffany & Co.,3540,2003,3534.2,48
Ferrari,3527,2008,3527,68
Ferrari,3527,2009,3527,65
Heineken,3516,2010,NA,74
Harley-Davidson,3512,2011,3488.9,79
Panasonic,3490,2001,3514.4,41
Tiffany & Co.,3483,2001,3483,42
Tiffany & Co.,3482,2002,3482.1,47
Hyundai,3480,2005,3480,60
Panasonic,3480,2004,3457.7,54
Shell,3471,2008,3457,69
Johnson & Johnson,3445,2007,3419.8,66
Herm??s,3416,2003,3416,49
Amazon,3403,2003,3380.2,50
Herm??s,3376,2004,3380,55
Caterpillar,3363,2003,3348.5,51
Cartier,3360,2006,3329,62
Starbucks,3339,2010,3331.4,75
Visa,3338,2008,3338,70
Shell,3331,2007,3315.2,67
Audi,3288,2004,3288,56
Prada,3286,2007,3244.8,68
Harley-Davidson,3281,2010,3386.6,76
Starbucks,3263,2009,3324.6,66
Panasonic,3257,2003,3245.4,52
Shell,3228,2009,3252.3,67
Caterpillar,3218,2002,3218,48
Nissan,3203,2005,3166,61
Hennessy,3201,2005,3189.3,62
Johnson & Johnson,3193,2006,3177.7,63
Amazon,3175,2002,3170.5,49
Shell,3173,2006,3160.5,64
Visa,3170,2009,3186.8,68
Adobe,3161,2009,3161,69
Panasonic,3141,2002,3175.9,50
Amazon,3130,2001,3269.8,43
Burberry,3110,2010,3108.5,77
Nissan,3108,2006,3117.5,65
Starbucks,3099,2006,3046.7,66
Burberry,3095,2009,NA,70
Hennessy,3084,2004,3075.2,57
Cartier,3050,2005,3019.9,63
Shell,3048,2005,3041.7,64
Johnson & Johnson,3040,2005,3031.2,65
Hennessy,2996,2003,2996,53
Shell,2985,2004,2984.8,58
Shell,2983,2003,2965.7,54
Johnson & Johnson,2952,2004,2927.4,59
Prada,2874,2006,2862.6,67
Shell,2844,2001,2838.2,44
Nissan,2833,2004,2799.2,60
Shell,2810,2002,2813.4,51
Shell,2786,2000,2786,37
Burberry,2783,2006,2783,68
Prada,2760,2005,2740.8,66
Cartier,2749,2004,2749,61
Johnson & Johnson,2706,2003,2686.3,55
Starbucks,2576,2005,2558.4,67
Prada,2568,2004,2564.7,62
Prada,2535,2003,2530.4,56
Johnson & Johnson,2509,2002,2509,52
Nissan,2495,2003,2495,57
Prada,2489,2002,2489,53
Heineken,2431,2003,2427.5,58
Starbucks,2400,2004,2373.6,63
Heineken,2396,2002,2383,54
Heineken,2380,2004,2385.1,64
Heineken,2266,2001,2261.2,45
Heineken,2218,2000,2218,38
Starbucks,2136,2003,2118.5,59
Starbucks,1961,2002,1940.6,55
FedEx,1919,2002,1915.6,56
FedEx,1885,2001,1885,46
Starbucks,1757,2001,1714.2,47
Johnnie Walker,1654,2002,1653.5,57
Johnnie Walker,1649,2001,1638.2,48
Jack Daniel's,1583,2001,1572.7,49
Jack Daniel's,1580,2002,1580.3,58
Johnnie Walker,1541,2000,1541,39
Jack Daniel's,1480,2000,1480,40
Pampers,1400,2000,1400,41
Starbucks,1329,2000,1329,42
3M,NA,2000,NA,43
3M,NA,2001,NA,50
3M,NA,2002,NA,59
3M,NA,2003,NA,60
3M,NA,2004,NA,65
3M,NA,2005,NA,68
3M,NA,2006,NA,69
3M,NA,2007,NA,69
3M,NA,2008,NA,71
3M,NA,2009,NA,71
Accenture,NA,2000,NA,44
Accenture,NA,2001,NA,51
Adobe,NA,2000,NA,45
Adobe,NA,2001,NA,52
Adobe,NA,2002,NA,60
Adobe,NA,2003,NA,61
Adobe,NA,2004,NA,66
Adobe,NA,2005,NA,69
Adobe,NA,2006,NA,70
Adobe,NA,2007,NA,70
Adobe,NA,2008,NA,72
Allianz,NA,2000,NA,46
Allianz,NA,2001,NA,53
Allianz,NA,2002,NA,61
Allianz,NA,2003,NA,62
Allianz,NA,2004,NA,67
Allianz,NA,2005,NA,70
Allianz,NA,2006,NA,71
Audi,NA,2000,NA,47
Audi,NA,2001,NA,54
Audi,NA,2002,NA,62
Audi,NA,2003,NA,63
AXA,NA,2000,NA,48
AXA,NA,2001,NA,55
AXA,NA,2002,NA,63
AXA,NA,2003,NA,64
AXA,NA,2004,NA,68
AXA,NA,2005,NA,71
AXA,NA,2006,NA,72
Banco Santander,NA,2000,NA,49
Banco Santander,NA,2001,NA,56
Banco Santander,NA,2002,NA,64
Banco Santander,NA,2003,NA,65
Banco Santander,NA,2004,NA,69
Banco Santander,NA,2005,NA,72
Banco Santander,NA,2006,NA,73
Banco Santander,NA,2007,NA,71
Banco Santander,NA,2008,NA,73
Banco Santander,NA,2009,NA,72
Burberry,NA,2000,NA,50
Burberry,NA,2001,NA,57
Burberry,NA,2002,NA,65
Burberry,NA,2003,NA,66
Burberry,NA,2004,NA,70
Burberry,NA,2005,NA,73
Burberry,NA,2007,NA,72
Burberry,NA,2008,NA,74
Canon,NA,2000,NA,51
Cartier,NA,2000,NA,52
Cartier,NA,2001,NA,58
Cartier,NA,2002,NA,66
Cartier,NA,2003,NA,67
Caterpillar,NA,2000,NA,53
Caterpillar,NA,2001,NA,59
Chanel,NA,2009,NA,73
Chanel,NA,2010,NA,78
Chanel,NA,2011,NA,80
Chanel,NA,2012,NA,85
Chanel,NA,2013,NA,85
Chanel,NA,2014,NA,88
Chanel,NA,2015,NA,91
Chanel,NA,2016,NA,93
Chanel,NA,2017,NA,96
Corona,NA,2000,NA,54
Corona,NA,2001,NA,60
Corona,NA,2002,NA,67
Corona,NA,2003,NA,68
Corona,NA,2004,NA,71
Corona,NA,2005,NA,74
Corona,NA,2006,NA,74
Corona,NA,2007,NA,73
Corona,NA,2008,NA,75
Corona,NA,2009,NA,74
Danone,NA,2000,NA,55
Danone,NA,2001,NA,61
DHL,NA,2000,NA,56
DHL,NA,2001,NA,62
DHL,NA,2002,NA,68
DHL,NA,2003,NA,69
DHL,NA,2004,NA,72
DHL,NA,2005,NA,75
DHL,NA,2006,NA,75
DHL,NA,2007,NA,74
DHL,NA,2008,NA,76
DHL,NA,2009,NA,75
DHL,NA,2010,NA,79
DHL,NA,2011,NA,81
DHL,NA,2012,NA,86
DHL,NA,2013,NA,86
Dior,NA,2000,NA,57
Dior,NA,2001,NA,63
Dior,NA,2002,NA,69
Dior,NA,2003,NA,70
Dior,NA,2004,NA,73
Dior,NA,2005,NA,76
Dior,NA,2006,NA,76
Dior,NA,2007,NA,75
Dior,NA,2008,NA,77
Dior,NA,2009,NA,76
Dior,NA,2010,NA,80
Dior,NA,2011,NA,82
Dior,NA,2012,NA,87
Dior,NA,2013,NA,87
Dior,NA,2014,NA,89
Dior,NA,2015,NA,92
Discovery,NA,2000,NA,58
Discovery,NA,2001,NA,64
Discovery,NA,2002,NA,70
Discovery,NA,2003,NA,71
Discovery,NA,2004,NA,74
Discovery,NA,2005,NA,77
Discovery,NA,2006,NA,77
Discovery,NA,2007,NA,76
Discovery,NA,2008,NA,78
Discovery,NA,2009,NA,77
Discovery,NA,2010,NA,81
Discovery,NA,2011,NA,83
Discovery,NA,2012,NA,88
eBay,NA,2000,NA,59
eBay,NA,2001,NA,65
eBay,NA,2002,NA,71
eBay,NA,2003,NA,72
Facebook,NA,2000,NA,60
Facebook,NA,2001,NA,66
Facebook,NA,2002,NA,72
Facebook,NA,2003,NA,73
Facebook,NA,2004,NA,75
Facebook,NA,2005,NA,78
Facebook,NA,2006,NA,78
Facebook,NA,2007,NA,77
Facebook,NA,2008,NA,79
Facebook,NA,2009,NA,78
Facebook,NA,2010,NA,82
Facebook,NA,2011,NA,84
FedEx,NA,2000,NA,61
FedEx,NA,2003,NA,74
FedEx,NA,2004,NA,76
FedEx,NA,2005,NA,79
FedEx,NA,2006,NA,79
FedEx,NA,2007,NA,78
FedEx,NA,2008,NA,80
FedEx,NA,2009,NA,79
FedEx,NA,2010,NA,83
FedEx,NA,2011,NA,85
FedEx,NA,2012,NA,89
FedEx,NA,2013,NA,88
Ferrari,NA,2000,NA,62
Ferrari,NA,2001,NA,67
Ferrari,NA,2002,NA,73
Ferrari,NA,2003,NA,75
Ferrari,NA,2004,NA,77
Ferrari,NA,2005,NA,80
Ferrari,NA,2006,NA,80
Ferrari,NA,2007,NA,79
Ferrari,NA,2013,NA,89
Ferrari,NA,2014,NA,90
Ferrari,NA,2015,NA,93
Ferrari,NA,2016,NA,94
Goldman Sachs,NA,2000,NA,63
Google,NA,2000,NA,64
Google,NA,2001,NA,68
Google,NA,2002,NA,74
Google,NA,2003,NA,76
Google,NA,2004,NA,78
H&M,NA,2000,NA,65
H&M,NA,2001,NA,69
H&M,NA,2002,NA,75
H&M,NA,2003,NA,77
H&M,NA,2004,NA,79
H&M,NA,2005,NA,81
H&M,NA,2006,NA,81
H&M,NA,2007,NA,80
Harley-Davidson,NA,2000,NA,66
Heineken,NA,2005,NA,82
Heineken,NA,2006,NA,82
Heineken,NA,2007,NA,81
Heineken,NA,2008,NA,81
Heineken,NA,2009,NA,80
Hennessy,NA,2000,NA,67
Hennessy,NA,2001,NA,70
Hennessy,NA,2002,NA,76
Hennessy,NA,2008,NA,82
Hennessy,NA,2009,NA,81
Hennessy,NA,2010,NA,84
Hennessy,NA,2011,NA,86
Hennessy,NA,2012,NA,90
Hennessy,NA,2013,NA,90
Hennessy,NA,2014,NA,91
Hennessy,NA,2015,NA,94
Hennessy,NA,2016,NA,95
Hennessy,NA,2017,NA,97
Herm??s,NA,2000,NA,68
Herm??s,NA,2001,NA,71
Herm??s,NA,2002,NA,77
Hewlett Packard Enterprise,NA,2000,NA,69
Hewlett Packard Enterprise,NA,2001,NA,72
Hewlett Packard Enterprise,NA,2002,NA,78
Hewlett Packard Enterprise,NA,2003,NA,78
Hewlett Packard Enterprise,NA,2004,NA,80
Hewlett Packard Enterprise,NA,2005,NA,83
Hewlett Packard Enterprise,NA,2006,NA,83
Hewlett Packard Enterprise,NA,2007,NA,82
Hewlett Packard Enterprise,NA,2008,NA,83
Hewlett Packard Enterprise,NA,2009,NA,82
Hewlett Packard Enterprise,NA,2010,NA,85
Hewlett Packard Enterprise,NA,2011,NA,87
Hewlett Packard Enterprise,NA,2012,NA,91
Hewlett Packard Enterprise,NA,2013,NA,91
Hewlett Packard Enterprise,NA,2014,NA,92
Hewlett Packard Enterprise,NA,2015,NA,95
HSBC,NA,2000,NA,70
HSBC,NA,2001,NA,73
HSBC,NA,2002,NA,79
Huawei,NA,2000,NA,71
Huawei,NA,2001,NA,74
Huawei,NA,2002,NA,80
Huawei,NA,2003,NA,79
Huawei,NA,2004,NA,81
Huawei,NA,2005,NA,84
Huawei,NA,2006,NA,84
Huawei,NA,2007,NA,83
Huawei,NA,2008,NA,84
Huawei,NA,2009,NA,83
Huawei,NA,2010,NA,86
Huawei,NA,2011,NA,88
Huawei,NA,2012,NA,92
Huawei,NA,2013,NA,92
Hyundai,NA,2000,NA,72
Hyundai,NA,2001,NA,75
Hyundai,NA,2002,NA,81
Hyundai,NA,2003,NA,80
Hyundai,NA,2004,NA,82
J.P. Morgan,NA,2000,NA,73
J.P. Morgan,NA,2001,NA,76
Jack Daniel's,NA,2003,NA,81
Jack Daniel's,NA,2004,NA,83
Jack Daniel's,NA,2005,NA,85
Jack Daniel's,NA,2006,NA,85
Jack Daniel's,NA,2007,NA,84
Jack Daniel's,NA,2008,NA,85
Jack Daniel's,NA,2009,NA,84
John Deere,NA,2000,NA,74
John Deere,NA,2001,NA,77
John Deere,NA,2002,NA,82
John Deere,NA,2003,NA,82
John Deere,NA,2004,NA,84
John Deere,NA,2005,NA,86
John Deere,NA,2006,NA,86
John Deere,NA,2007,NA,85
John Deere,NA,2008,NA,86
John Deere,NA,2009,NA,85
John Deere,NA,2010,NA,87
Johnnie Walker,NA,2003,NA,83
Johnnie Walker,NA,2004,NA,85
Johnnie Walker,NA,2005,NA,87
Johnnie Walker,NA,2006,NA,87
Johnnie Walker,NA,2007,NA,86
Johnnie Walker,NA,2008,NA,87
Johnnie Walker,NA,2009,NA,86
Johnson & Johnson,NA,2000,NA,75
Johnson & Johnson,NA,2001,NA,78
KFC,NA,2000,NA,76
Kia,NA,2000,NA,77
Kia,NA,2001,NA,79
Kia,NA,2002,NA,83
Kia,NA,2003,NA,84
Kia,NA,2004,NA,86
Kia,NA,2005,NA,88
Kia,NA,2006,NA,88
Kia,NA,2007,NA,87
Kia,NA,2008,NA,88
Kia,NA,2009,NA,87
Kia,NA,2010,NA,88
Kia,NA,2011,NA,89
L'Or??al,NA,2000,NA,78
L'Or??al,NA,2001,NA,80
Land Rover,NA,2000,NA,79
Land Rover,NA,2001,NA,81
Land Rover,NA,2002,NA,84
Land Rover,NA,2003,NA,85
Land Rover,NA,2004,NA,87
Land Rover,NA,2005,NA,89
Land Rover,NA,2006,NA,89
Land Rover,NA,2007,NA,88
Land Rover,NA,2008,NA,89
Land Rover,NA,2009,NA,88
Land Rover,NA,2010,NA,89
Land Rover,NA,2011,NA,90
Land Rover,NA,2012,NA,93
Land Rover,NA,2013,NA,93
LEGO,NA,2000,NA,80
LEGO,NA,2001,NA,82
LEGO,NA,2002,NA,85
LEGO,NA,2003,NA,86
LEGO,NA,2004,NA,88
LEGO,NA,2005,NA,90
LEGO,NA,2006,NA,90
LEGO,NA,2007,NA,89
LEGO,NA,2008,NA,90
LEGO,NA,2009,NA,89
LEGO,NA,2010,NA,90
LEGO,NA,2011,NA,91
LEGO,NA,2012,NA,94
LEGO,NA,2013,NA,94
LEGO,NA,2014,NA,93
Mastercard,NA,2000,NA,81
Mastercard,NA,2001,NA,83
Mastercard,NA,2002,NA,86
Mastercard,NA,2003,NA,87
Mastercard,NA,2004,NA,89
Mastercard,NA,2005,NA,91
Mastercard,NA,2006,NA,91
Mastercard,NA,2007,NA,90
Mastercard,NA,2008,NA,91
Mastercard,NA,2009,NA,90
Mastercard,NA,2010,NA,91
Mastercard,NA,2011,NA,92
MINI,NA,2000,NA,82
MINI,NA,2001,NA,84
MINI,NA,2002,NA,87
MINI,NA,2003,NA,88
MINI,NA,2004,NA,90
MINI,NA,2005,NA,92
MINI,NA,2006,NA,92
MINI,NA,2007,NA,91
MINI,NA,2008,NA,92
MINI,NA,2009,NA,91
MINI,NA,2010,NA,92
MINI,NA,2011,NA,93
MINI,NA,2012,NA,95
MINI,NA,2013,NA,95
MINI,NA,2014,NA,94
Morgan Stanley,NA,2000,NA,83
Morgan Stanley,NA,2001,NA,85
Nestl??,NA,2000,NA,84
Nestl??,NA,2001,NA,86
Netflix,NA,2000,NA,85
Netflix,NA,2001,NA,87
Netflix,NA,2002,NA,88
Netflix,NA,2003,NA,89
Netflix,NA,2004,NA,91
Netflix,NA,2005,NA,93
Netflix,NA,2006,NA,93
Netflix,NA,2007,NA,92
Netflix,NA,2008,NA,93
Netflix,NA,2009,NA,92
Netflix,NA,2010,NA,93
Netflix,NA,2011,NA,94
Netflix,NA,2012,NA,96
Netflix,NA,2013,NA,96
Netflix,NA,2014,NA,95
Netflix,NA,2015,NA,96
Netflix,NA,2016,NA,96
Nintendo,NA,2000,NA,86
Nintendo,NA,2014,NA,96
Nintendo,NA,2015,NA,97
Nintendo,NA,2016,NA,97
Nintendo,NA,2017,NA,98
Nissan,NA,2000,NA,87
Nissan,NA,2001,NA,88
Nissan,NA,2002,NA,89
Nissan,NA,2007,NA,93
Nissan,NA,2008,NA,94
Nissan,NA,2009,NA,93
Nissan,NA,2010,NA,94
Oracle,NA,2000,NA,88
Pampers,NA,2001,NA,89
Pampers,NA,2002,NA,90
Pampers,NA,2003,NA,90
Pampers,NA,2004,NA,92
Pampers,NA,2005,NA,94
Pampers,NA,2006,NA,94
Pampers,NA,2007,NA,94
Pampers,NA,2008,NA,95
Pampers,NA,2009,NA,94
Pampers,NA,2010,NA,95
Pampers,NA,2011,NA,95
PayPal,NA,2000,NA,89
PayPal,NA,2001,NA,90
PayPal,NA,2002,NA,91
PayPal,NA,2003,NA,91
PayPal,NA,2004,NA,93
PayPal,NA,2005,NA,95
PayPal,NA,2006,NA,95
PayPal,NA,2007,NA,95
PayPal,NA,2008,NA,96
PayPal,NA,2009,NA,95
PayPal,NA,2010,NA,96
PayPal,NA,2011,NA,96
PayPal,NA,2012,NA,97
PayPal,NA,2013,NA,97
PayPal,NA,2014,NA,97
Porsche,NA,2000,NA,90
Porsche,NA,2001,NA,91
Porsche,NA,2002,NA,92
Porsche,NA,2003,NA,92
Prada,NA,2000,NA,91
Prada,NA,2001,NA,92
Prada,NA,2009,NA,96
Prada,NA,2010,NA,97
Prada,NA,2011,NA,97
Salesforce.com,NA,2000,NA,92
Salesforce.com,NA,2001,NA,93
Salesforce.com,NA,2002,NA,93
Salesforce.com,NA,2003,NA,93
Salesforce.com,NA,2004,NA,94
Salesforce.com,NA,2005,NA,96
Salesforce.com,NA,2006,NA,96
Salesforce.com,NA,2007,NA,96
Salesforce.com,NA,2008,NA,97
Salesforce.com,NA,2009,NA,97
Salesforce.com,NA,2010,NA,98
Salesforce.com,NA,2011,NA,98
Salesforce.com,NA,2012,NA,98
Salesforce.com,NA,2013,NA,98
Salesforce.com,NA,2014,NA,98
Salesforce.com,NA,2015,NA,98
Salesforce.com,NA,2016,NA,98
Siemens,NA,2000,NA,93
Siemens,NA,2001,NA,94
Siemens,NA,2002,NA,94
Siemens,NA,2003,NA,94
Spotify,NA,2000,NA,94
Spotify,NA,2001,NA,95
Spotify,NA,2002,NA,95
Spotify,NA,2003,NA,95
Spotify,NA,2004,NA,95
Spotify,NA,2005,NA,97
Spotify,NA,2006,NA,97
Spotify,NA,2007,NA,97
Spotify,NA,2008,NA,98
Spotify,NA,2009,NA,98
Spotify,NA,2010,NA,99
Spotify,NA,2011,NA,99
Spotify,NA,2012,NA,99
Spotify,NA,2013,NA,99
Spotify,NA,2014,NA,99
Spotify,NA,2015,NA,99
Spotify,NA,2016,NA,99
Spotify,NA,2017,NA,99
Sprite,NA,2000,NA,95
Sprite,NA,2001,NA,96
Sprite,NA,2002,NA,96
Sprite,NA,2003,NA,96
Sprite,NA,2004,NA,96
Sprite,NA,2005,NA,98
Sprite,NA,2006,NA,98
Sprite,NA,2007,NA,98
Sprite,NA,2008,NA,99
Sprite,NA,2009,NA,99
Subaru,NA,2000,NA,96
Subaru,NA,2001,NA,97
Subaru,NA,2002,NA,97
Subaru,NA,2003,NA,97
Subaru,NA,2004,NA,97
Subaru,NA,2005,NA,99
Subaru,NA,2006,NA,99
Subaru,NA,2007,NA,99
Subaru,NA,2008,NA,100
Subaru,NA,2009,NA,100
Subaru,NA,2010,NA,100
Subaru,NA,2011,NA,100
Subaru,NA,2012,NA,100
Subaru,NA,2013,NA,100
Subaru,NA,2014,NA,100
Subaru,NA,2015,NA,100
Subaru,NA,2016,NA,100
Subaru,NA,2017,NA,100
Tiffany & Co.,NA,2000,NA,97
UPS,NA,2000,NA,98
UPS,NA,2001,NA,98
UPS,NA,2002,NA,98
UPS,NA,2003,NA,98
UPS,NA,2004,NA,98
Visa,NA,2000,NA,99
Visa,NA,2001,NA,99
Visa,NA,2002,NA,99
Visa,NA,2003,NA,99
Visa,NA,2004,NA,99
Visa,NA,2005,NA,100
Visa,NA,2006,NA,100
Visa,NA,2007,NA,100
Zara,NA,2000,NA,100
Zara,NA,2001,NA,100
Zara,NA,2002,NA,100
Zara,NA,2003,NA,100
Zara,NA,2004,NA,100
